RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
135,Alec Pierce   IND,WR,14,3.6,6.8,6.7,,,4.8,9.8,6.9,11.5,14.4,BYE,2.6,13.8,8.0,1.6,20.6,0.0,7.9,111.1
136,Atlanta Falcons   ATL,DST,16,1.0,21.0,3.0,4.0,BYE,9.0,4.0,0.0,10.0,10.0,4.0,16.0,2.0,0.0,6.0,5.0,16.0,6.9,111.0
136,New Orleans Saints   NO,DST,16,8.0,5.0,-2.0,4.0,18.0,1.0,3.0,6.0,1.0,12.0,BYE,11.0,6.0,3.0,4.0,19.0,12.0,6.9,111.0
136,Jake Elliott   PHI,K,16,8.0,12.0,3.0,7.0,5.0,6.0,4.0,9.0,BYE,4.0,11.0,3.0,4.0,17.0,7.0,3.0,8.0,6.9,111.0
139,Romeo Doubs   GB,WR,16,6.8,8.8,2.5,23.8,BYE,5.5,7.2,6.4,9.1,0.5,5.3,2.3,8.0,0.0,3.6,14.4,6.2,6.9,110.4
140,Brandon McManus   GB,K,13,9.0,11.0,4.0,12.0,BYE,,,9.0,8.0,1.0,,12.0,8.0,4.0,16.0,10.0,6.0,8.5,110.0
141,Tyler Warren   IND,TE,16,7.9,7.9,3.8,13.3,10.4,12.3,12.9,5.3,2.6,9.9,BYE,4.5,8.2,1.7,1.9,3.0,4.3,6.9,109.9
142,Chicago Bears   CHI,DST,16,11.0,-4.0,11.0,10.0,BYE,9.0,13.0,1.0,5.0,7.0,5.0,6.0,5.0,2.0,18.0,5.0,5.0,6.8,109.0
142,Ryan Fitzgerald   CAR,K,16,5.0,4.0,15.0,1.0,10.0,14.0,7.0,4.0,5.0,1.0,10.0,3.0,7.0,BYE,6.0,13.0,4.0,6.8,109.0
144,Blake Corum   LAR,RB,16,1.6,10.4,5.3,1.6,1.3,2.3,4.3,BYE,5.8,5.6,0.5,2.4,14.1,25.1,13.1,12.1,1.8,6.7,107.3
145,Justin Jefferson   MIN,WR,16,10.8,8.1,7.5,12.6,12.3,BYE,7.9,7.4,10.7,3.7,6.1,4.8,0.4,1.1,2.2,8.5,3.0,6.7,107.1
145,Tyler Allgeier   ATL,RB,16,2.4,14.0,0.4,11.1,BYE,9.8,1.6,7.4,0.6,17.7,7.6,4.9,11.5,6.7,1.8,7.3,2.3,6.7,107.1
147,Jake Ferguson   DAL,TE,16,2.3,7.8,8.2,10.0,16.9,9.3,14.9,0.0,3.0,BYE,7.6,6.1,3.6,5.8,1.6,1.9,6.6,6.6,105.6
148,Jordan Mason   MIN,RB,15,7.5,3.8,23.6,7.2,9.6,BYE,11.7,0.6,3.7,3.1,10.5,4.2,4.8,11.2,2.9,1.1,,7.0,105.5
