RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
425,Phil MafahDAL,RB,1,2,2,11,5.5,0,10,0,11,0,0,22,1
430,Derius DavisLAC,WR,11,2,3,10,5,0,7,0,0.9,0,0,8,0
430,Moliki MatavaoNO,TE,6,2,2,10,5,0,6,0,1.7,0,0,5,0
430,Quentin SkinnerNYJ,WR,1,1,1,10,10,0,10,0,10,0,0,6,1
433,Clyde Edwards-HelaireKC,RB,2,2,2,9,4.5,0,7,0,4.5,0,0,13,0
433,Terrell JenningsNE,RB,7,1,1,9,9,0,9,0,1.3,0,0,7,0
433,Anthony Richardson Sr.IND,QB,2,1,1,9,9,0,9,0,4.5,0,0,7,1
433,Tahj BrooksCIN,RB,16,1,2,9,9,0,9,0,0.6,0,0,11,0
433,Kaleb JohnsonPIT,RB,10,1,2,9,9,0,9,0,0.9,0,0,14,0
438,Patrick RicardBAL,FB,11,1,2,8,8,0,8,0,0.7,0,0,2,0
438,Andre BaccelliaARI,WR,5,2,4,8,4,0,5,0,1.6,0,0,7,0
438,Jaret PattersonLAC,RB,6,3,4,8,2.7,0,4,0,1.3,0,0,8,1
438,Bryce OliverTEN,WR,3,1,1,8,8,0,8,0,2.7,0,0,2,0
438,Tyler GoodsonIND,RB,11,2,3,8,4,0,8,0,0.7,0,0,10,0
443,Chris ManhertzNYG,TE,17,1,2,7,7,0,7,0,0.4,0,0,6,0
443,Ross DwelleyDET,TE,11,2,5,7,3.5,0,4,0,0.6,0,0,7,0
443,Harrison BryantHOU,TE,12,2,6,7,3.5,0,5,0,0.6,0,0,0,1
443,Cam GrandyCIN,TE,5,2,2,7,3.5,0,6,0,1.4,1,0,13,0
447,Antonio GibsonNE,RB,5,2,3,6,3,0,5,0,1.2,0,0,16,0
447,Devin CulpTB,TE,13,1,1,6,6,1,6,0,0.5,0,0,0,1
447,Xavier GipsonNYG/NYJ/PHI,WR,7,2,2,6,3,0,3,0,0.9,0,0,15,0
447,Anthony GouldIND,WR,11,2,2,6,3,0,3,0,0.5,0,0,8,0
,,,,,,,,BIG,YDS/G,FUM,LST,YAC,FD,,
,,,,,,,,27,105.5,3,1,528,79,,
,,,,,,,,27,107.2,1,1,666,80,,
,,,,,,,,22,84.1,4,0,479,73,,
,,,,,,,,15,88.3,1,1,640,73,,
,,,,,,,,19,82.4,1,0,570,71,,
,,,,,,,,12,72.9,0,0,583,63,,
,,,,,,,,19,71.2,3,3,458,48,,
,,,,,,,,11,72.7,0,0,289,53,,
,,,,,,,,18,74.5,1,1,324,48,,
